Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Otamendi, N,MCY,4.0m,29,0,1,0,0,13,0,28,-,0,7,0,27.2,109
 Ramsey, A,ARS,4.9m,27,4,6,0,8,-,-,-,-,0,4,0,22.0,108
 Coleman, S,EVE,4.1m,30,1,1,0,4,11,2,34,-,0,4,0,26.3,108
 Milner, J,LIV,4.0m,27,1,5,0,13,-,-,-,-,1,8,0,27.0,108
 Coutinho, P,LIV,5.1m,22,2,9,0,7,-,-,-,-,1,2,0,21.0,107
 Lamela, E,TOT,3.7m,26,6,4,0,12,-,-,-,-,0,7,0,28.9,107
 Nyom, A,WAT,2.8m,32,3,0,0,1,11,2,34,-,0,8,0,38.2,107
 Hazard, E,CHE,6.0m,24,5,5,0,10,-,-,-,-,0,2,0,17.7,106
 Walcott, T,ARS,4.8m,18,14,7,0,7,-,-,-,-,0,0,0,22.1,106
 Bertrand, R,SOT,3.6m,29,0,0,0,6,9,0,29,-,0,6,0,29.4,106
 Noble, M,WHM,3.5m,38,0,5,0,5,-,-,-,-,1,7,0,30.3,106
 Delaney, D,CRY,2.8m,34,0,2,0,4,8,0,42,-,0,2,2,37.9,106
 Toure, Y,MCY,5.3m,28,2,7,0,5,-,-,-,-,0,3,0,19.8,105
 Long, S,SOT,5.1m,21,5,9,0,5,-,-,-,-,0,2,0,20.6,105
 Albrighton, M,LEI,3.0m,33,4,2,0,10,-,-,-,-,0,5,0,35.0,105
 Drinkwater, D,LEI,2.8m,34,0,2,0,10,-,-,-,-,0,3,0,37.5,105
 McAuley, G,WBA,2.8m,34,0,1,0,1,11,1,38,-,1,4,1,37.5,105
 Fletcher, D,WBA,3.3m,37,0,3,0,6,-,-,-,-,0,3,0,31.5,104
 Hennessey, W,CRY,2.2m,32,0,0,0,0,11,0,36,0,0,1,0,46.8,103
 Ritchie, M,BOU,2.9m,31,6,3,0,8,-,-,-,-,0,5,0,35.2,102
 Sterling, R,MCY,5.2m,24,7,7,0,4,-,-,-,-,0,2,0,19.2,100
