Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Begovic, A,CHE,3.2m,14,2,0,0,0,5,0,21,0,0,0,0,14.1,45
 King, A,LEI,2.9m,9,15,1,0,3,-,-,-,-,0,2,0,15.5,45
 O'Shea, J,SUN,2.9m,23,3,0,0,0,2,3,37,-,0,2,0,15.5,45
 Paredes, J,WAT,2.5m,7,10,0,0,1,2,8,10,-,0,2,0,18.0,45
 Oviedo, B,EVE,3.0m,14,2,0,0,5,-,-,-,-,0,1,0,14.7,44
 Ruddy, J,NOR,2.7m,24,0,0,0,0,3,0,40,0,0,0,0,16.3,44
 Galloway, B,EVE,2.5m,15,2,0,0,1,5,2,20,-,0,3,0,17.6,44
 Afobe, B,BOU,3.8m,11,1,4,0,0,-,-,-,-,0,0,0,11.3,43
 Jenkinson, C,WHM,3.0m,14,7,2,0,1,1,6,23,-,1,3,1,14.3,43
 Pantilimon, C,WAT,2.9m,21,0,0,0,0,4,0,37,0,0,4,0,14.8,43
 Elliot, R,NEW,1.7m,22,0,0,0,0,4,0,38,0,0,1,0,25.3,43
 Wilson, C,BOU,4.0m,7,3,5,0,0,-,-,-,-,0,0,0,10.5,42
 Jedinak, M,CRY,3.4m,16,14,0,0,1,-,-,-,-,0,7,0,12.4,42
 Watmore, D,SUN,2.7m,7,13,3,0,0,-,-,-,-,0,0,0,15.6,42
 Lambert, R,WBA,4.6m,7,15,1,0,3,-,-,-,-,0,2,0,8.9,41
 Kelly, M,CRY,2.9m,12,1,1,0,0,4,1,14,-,0,3,0,14.1,41
 Borthwick-Jackson, C,MUN,2.4m,8,2,0,0,3,4,3,5,-,0,0,0,17.1,41
 Agbonlahor, G,AVL,4.5m,13,3,1,0,2,-,-,-,-,0,0,0,8.9,40
 Delph, F,MCY,3.7m,9,9,2,0,1,-,-,-,-,0,0,0,10.8,40
 Leiva, L,LIV,3.2m,20,5,0,0,1,-,-,-,-,0,8,0,12.5,40
 Ledley, J,CRY,3.0m,15,7,1,0,0,-,-,-,-,0,2,0,13.3,40
 Mikel, J,CHE,2.9m,18,6,0,0,1,-,-,-,-,0,5,0,13.8,40
 Arter, H,BOU,2.8m,19,0,1,0,1,-,-,-,-,0,6,0,14.3,40
 Allen, J,LIV,3.6m,8,10,2,0,1,-,-,-,-,0,0,0,10.8,39
 Jarvis, M,NOR,3.0m,12,7,1,0,1,-,-,-,-,0,0,0,13.0,39
 Holebas, J,WAT,2.8m,13,0,1,0,0,2,1,17,-,0,2,0,13.9,39
 Gradel, M,BOU,3.1m,10,2,1,0,4,-,-,-,-,0,1,0,12.3,38
 Kirchhoff, J,SUN,2.6m,11,1,0,0,1,4,1,10,-,0,0,0,14.6,38
 Guzan, B,AVL,2.5m,30,0,0,0,0,3,0,62,0,0,2,0,15.2,38
 Mannone, V,SUN,2.1m,16,0,0,0,0,3,0,20,0,0,2,0,18.1,38
 Grealish, J,AVL,3.5m,10,7,1,0,2,-,-,-,-,0,1,0,10.6,37
 Barrow, M,SWA,3.3m,5,16,1,0,2,-,-,-,-,0,0,0,11.2,37
 Carroll, T,TOT,2.9m,7,13,2,0,1,-,-,-,-,0,3,0,12.8,37
 Kone, L,SUN,2.5m,11,0,0,0,1,3,0,11,-,0,0,0,14.8,37
 O'Kane, E,BOU,2.5m,9,10,0,0,4,-,-,-,-,0,3,0,14.8,37
 Bennett, R,NOR,2.1m,19,2,0,0,0,4,1,30,-,0,6,1,17.6,37
 Clasie, J,SOT,3.4m,19,2,0,0,0,-,-,-,-,0,4,0,10.6,36
 Clark, C,AVL,3.0m,17,2,1,0,0,3,2,33,-,0,5,0,12.0,36
 Britton, L,SWA,2.9m,17,5,0,0,0,-,-,-,-,0,3,0,12.4,36
 Young, A,MUN,3.9m,11,6,0,0,4,-,-,-,-,0,5,0,9.0,35
 Grabban, L,BOU,3.6m,7,12,1,0,2,-,-,-,-,0,2,0,9.7,35
 Dorrans, G,NOR,3.0m,13,6,0,0,2,-,-,-,-,0,3,0,11.7,35
 Martina, C,SOT,2.8m,9,4,1,0,1,1,2,13,-,0,1,0,12.5,35
 Behrami, V,WAT,2.9m,15,7,0,0,1,-,-,-,-,1,3,0,11.7,34
 Loftus-Cheek, R,CHE,2.8m,5,8,2,0,2,-,-,-,-,0,0,0,12.1,34
 Randolph, D,WHM,2.0m,9,0,0,0,0,4,0,9,0,0,0,0,17.0,34
 Cazorla, S,ARS,5.0m,14,0,0,1,4,-,-,-,-,1,2,0,6.6,33
 Toure, K,LIV,3.0m,8,5,1,0,0,3,4,13,-,0,0,0,11.0,33
 Traore, B,CHE,2.9m,2,6,4,0,1,-,-,-,-,0,0,0,11.4,33
 Rahman, B,CHE,3.7m,11,3,0,0,0,2,2,12,-,0,1,0,8.6,32
 Ospina, D,ARS,3.4m,8,0,0,0,0,4,0,8,0,0,0,0,9.4,32
 Jones, B,SUN,2.8m,23,1,1,0,1,2,0,47,-,0,8,0,11.4,32
 Adebayor, E,CRY,4.6m,8,5,1,0,2,-,-,-,-,0,1,0,6.7,31
 Sanchez, C,AVL,3.0m,15,3,0,0,0,-,-,-,-,0,2,0,10.3,31
 Guedioura, A,WAT,2.8m,5,15,1,0,1,-,-,-,-,0,2,0,11.1,31
 Okore, J,AVL,2.8m,13,1,0,0,0,3,0,21,-,0,1,0,11.1,31
 Lascelles, J,NEW,2.4m,8,9,2,0,0,1,3,21,-,1,0,0,12.9,31
 Emenike, E,WHM,4.2m,7,6,2,0,0,-,-,-,-,0,0,0,7.1,30
 Jones, P,MUN,3.7m,6,4,0,0,0,3,5,4,-,0,0,0,8.1,30
 O'Neil, G,NOR,2.9m,15,9,0,0,0,-,-,-,-,1,6,0,10.3,30
 Chester, J,WBA,2.8m,12,4,0,0,0,4,1,22,-,0,4,0,10.7,30
 Nasri, S,MCY,4.9m,3,7,2,0,3,-,-,-,-,0,3,0,5.9,29
 Romero, S,MUN,3.5m,5,0,0,0,0,4,0,2,0,0,0,0,8.3,29
 Mason, R,TOT,3.4m,6,13,1,0,0,-,-,-,-,0,1,0,8.5,29
 Trippier, K,TOT,3.3m,7,1,1,0,2,1,1,7,-,0,1,0,8.8,29
 Flamini, M,ARS,3.2m,14,4,0,0,0,-,-,-,-,0,3,0,9.1,29
 Mutch, J,CRY,2.9m,8,13,0,0,0,-,-,-,-,0,0,0,10.0,29
 Imbula, G,STO,3.6m,11,0,1,0,1,-,-,-,-,0,2,0,7.8,28
 Toivonen, O,SUN,3.1m,10,3,0,0,2,-,-,-,-,0,1,0,9.0,28
 Bunn, M,AVL,2.1m,8,0,0,0,0,3,0,12,1,0,1,0,13.3,28
 Dyer, N,LEI,3.5m,2,13,1,0,2,-,-,-,-,0,1,0,7.7,27
 Rodwell, J,SUN,3.4m,8,13,0,0,1,-,-,-,-,0,5,0,7.9,27
 Amavi, J,AVL,2.7m,9,1,0,0,2,2,1,13,-,0,2,0,10.0,27
 Shaw, L,MUN,3.9m,5,0,0,0,1,3,0,3,-,0,1,0,6.7,26
 Caballero, W,MCY,3.2m,6,1,0,0,0,3,1,10,1,0,0,0,8.1,26
 Klose, T,NOR,3.0m,10,0,1,0,0,2,1,13,-,0,3,0,8.7,26
 Tiote, C,NEW,3.0m,14,4,0,0,0,-,-,-,-,0,6,0,8.7,26
 Khazri, W,SUN,2.9m,10,1,1,0,1,-,-,-,-,0,3,0,9.0,26
 Chung-yong, L,CRY,2.5m,5,8,1,0,1,-,-,-,-,0,0,0,10.4,26
 Remy, L,CHE,5.6m,3,11,1,0,1,-,-,-,-,0,0,0,4.5,25
 Paloschi, A,SWA,3.8m,7,3,2,0,0,-,-,-,-,0,2,0,6.6,25
 McManaman, C,WBA,3.4m,2,11,0,0,4,-,-,-,-,0,2,0,7.4,25
 Kenedy,CHE,3.2m,5,10,1,0,0,-,-,-,-,0,0,0,7.8,25
 Hangeland, B,CRY,2.3m,7,0,0,0,0,3,0,6,-,0,2,0,10.9,25
 Campbell, F,CRY,3.9m,6,8,1,0,0,-,-,-,-,0,1,0,6.2,24
 Song, A,WHM,3.5m,10,5,0,0,0,-,-,-,-,0,1,0,6.9,24
 de Jong, S,NEW,3.3m,3,15,0,0,1,-,-,-,-,0,0,0,7.3,24
 Cissokho, A,AVL,3.0m,17,0,0,0,1,3,0,39,-,0,3,0,8.0,24
 Gayle, D,CRY,4.0m,6,7,1,0,1,-,-,-,-,1,1,0,5.8,23
 Adam, C,STO,3.5m,11,9,0,0,0,-,-,-,-,1,5,0,6.6,23
 Gray, D,LEI,3.3m,2,9,0,0,3,-,-,-,-,0,0,0,6.7,22
 Larsson, S,SUN,3.2m,5,9,0,0,1,-,-,-,-,0,0,0,6.9,22
 Gomez, J,LIV,2.8m,5,0,0,0,1,3,0,5,-,0,3,0,7.9,22
 Varela, G,MUN,2.4m,6,0,0,0,1,2,0,6,-,0,1,0,9.2,22
 Caulker, S,LIV,3.1m,2,5,0,0,0,2,3,2,-,0,0,0,6.8,21
 Besic, M,EVE,2.9m,8,6,0,0,0,-,-,-,-,0,1,0,7.2,21
 Oxford, R,WHM,2.6m,3,5,0,0,0,1,5,3,-,0,0,0,8.1,21
 Fer, L,SWA,3.2m,7,2,0,0,2,-,-,-,-,0,2,0,6.2,20
 Distin, S,BOU,2.5m,12,3,0,0,0,1,3,25,-,0,0,0,8.0,20
 Crouch, P,STO,4.4m,3,8,1,0,0,-,-,-,-,0,0,0,4.3,19
 Valencia, A,MUN,4.0m,4,8,0,0,1,-,-,-,-,0,0,0,4.8,19
 Elneny, M,ARS,3.7m,11,1,0,0,0,-,-,-,-,0,4,0,5.1,19
 Bardsley, P,STO,3.0m,9,1,0,0,2,0,1,17,-,0,1,0,6.0,18
 Hutton, A,AVL,2.7m,24,2,0,0,2,1,1,52,-,1,6,2,6.7,18
 Richardson, K,AVL,2.6m,10,3,0,0,1,1,2,21,-,0,4,0,6.9,18
 Odijidja-Ofoe, V,NOR,2.5m,4,5,0,0,2,-,-,-,-,0,1,0,7.2,18
 Ings, D,LIV,5.5m,3,2,2,0,0,-,-,-,-,0,1,0,3.1,17
 Anichebe, V,WBA,4.1m,4,9,0,0,0,-,-,-,-,0,0,0,4.1,17
 N'Doye, D,SUN,3.7m,4,5,1,0,0,-,-,-,-,0,1,0,4.6,17
 Elphick, T,BOU,2.6m,10,1,1,0,0,0,0,20,-,0,0,0,6.5,17
 Muniesa, M,STO,2.6m,12,2,0,0,0,1,2,23,-,0,2,0,6.5,17
 Wisdom, A,NOR,2.3m,10,1,0,0,0,1,0,18,-,0,1,0,7.4,17
 Suarez, M,WAT,3.3m,6,7,0,0,0,-,-,-,-,0,3,0,4.8,16
 Ireland, S,STO,3.0m,1,12,0,0,1,-,-,-,-,0,1,0,5.3,16
 Sandro,WBA,2.9m,6,4,0,0,0,-,-,-,-,0,0,0,5.5,16
 Rudd, D,NOR,1.9m,11,0,0,0,0,2,0,23,0,0,2,0,8.4,16
 Falcao, R,CHE,6.3m,1,9,1,0,0,-,-,-,-,0,1,0,2.4,15
 Bentaleb, N,TOT,3.1m,5,4,0,0,1,-,-,-,-,0,2,0,4.8,15
 Traore, A,AVL,3.0m,0,10,0,0,2,-,-,-,-,0,1,0,5.0,15
 Pato, A,CHE,5.7m,1,1,1,0,2,-,-,-,-,0,0,0,2.5,14
 Bamford, P,NOR,3.8m,2,10,0,0,0,-,-,-,-,0,0,0,3.7,14
 Osman, L,EVE,3.4m,2,7,0,0,1,-,-,-,-,0,0,0,4.1,14
 Vorm, M,TOT,3.4m,5,0,0,0,0,1,0,5,0,0,0,0,4.1,14
 Taylor, S,NEW,2.9m,8,1,0,0,0,2,0,16,-,0,1,1,4.8,14
 Teixeira, J,LIV,2.9m,4,1,1,0,0,-,-,-,-,0,0,0,4.8,14
 McNair, P,MUN,2.7m,3,5,0,0,0,0,3,6,-,0,0,0,5.2,14
 Pocognoli, S,WBA,2.6m,1,3,0,0,1,1,1,3,-,0,0,0,5.4,14
 Fosu-Mensah, T,MUN,2.5m,4,4,0,0,1,-,-,-,-,0,1,0,5.6,14
 Austin, C,SOT,5.2m,2,4,1,0,0,-,-,-,-,0,0,0,2.5,13
 Rodriguez, J,SOT,5.0m,3,8,0,0,0,-,-,-,-,0,1,0,2.6,13
 Juanmi,SOT,3.7m,0,13,0,0,0,-,-,-,-,0,0,0,3.5,13
 Mulumbu, Y,NOR,3.3m,6,2,0,0,0,-,-,-,-,0,1,0,3.9,13
 Flanagan, J,LIV,2.9m,4,1,0,0,0,1,1,6,-,0,0,0,4.5,13
 Amat, J,SWA,2.5m,3,3,0,0,0,1,2,5,-,0,1,0,5.2,13
 Haidara, M,NEW,2.4m,6,1,0,0,0,1,1,9,-,0,1,0,5.4,13
 Chamakh, M,CRY,4.0m,1,11,0,0,0,-,-,-,-,0,1,0,3.0,12
 Inler, G,LEI,3.5m,5,2,0,0,0,-,-,-,-,0,0,0,3.4,12
 Aarons, R,NEW,3.0m,3,6,0,0,0,-,-,-,-,0,0,0,4.0,12
 Amrabat, N,WAT,2.8m,6,6,0,0,0,-,-,-,-,1,3,0,4.3,12
 McCarthy, A,CRY,2.4m,7,0,0,0,0,0,0,9,0,0,0,0,5.0,12
 Browning, T,EVE,2.3m,3,2,0,0,0,1,1,5,-,0,1,0,5.2,12
 Darlow, K,NEW,2.1m,6,0,0,0,0,1,0,10,0,0,0,0,5.7,12
 Berghuis, S,WAT,3.4m,1,6,0,0,1,-,-,-,-,0,0,0,3.2,11
 Enrique, J,LIV,3.2m,2,1,0,0,0,1,1,2,-,0,0,0,3.4,11
 Krul, T,NEW,3.0m,8,0,0,0,0,1,0,17,0,0,0,0,3.7,11
 Onomah, J,TOT,2.5m,2,7,0,0,0,-,-,-,-,0,0,0,4.4,11
 N'Jie, C,TOT,4.3m,0,7,0,0,1,-,-,-,-,0,0,0,2.3,10
 Januzaj, A,MUN,3.7m,2,2,1,0,0,-,-,-,-,0,1,0,2.7,10
 Gibson, D,EVE,3.2m,3,5,0,0,0,-,-,-,-,0,1,0,3.1,10
 Gouffran, Y,NEW,3.0m,2,6,0,0,0,-,-,-,-,0,0,0,3.3,10
 Obertan, G,NEW,2.8m,3,2,0,0,1,-,-,-,-,0,1,0,3.6,10
 Smith, B,LIV,2.1m,3,0,0,0,0,1,0,3,-,0,0,0,4.8,10
 MacDonald, S,BOU,2.7m,3,3,0,0,0,-,-,-,-,0,0,0,3.3,9
 Pinto, I,NOR,2.5m,5,1,0,0,1,0,1,12,-,0,0,0,3.6,9
 Ilori, T,LIV,2.2m,3,0,0,0,0,1,0,4,-,0,0,0,4.1,9
 Kingsley, S,SWA,2.0m,2,0,0,0,0,1,0,1,-,0,0,0,4.5,9
 Emnes, M,SWA,4.0m,2,1,0,0,1,-,-,-,-,0,0,0,2.0,8
 Pienaar, S,EVE,3.2m,2,4,0,0,0,-,-,-,-,0,0,0,2.5,8
 Miazga, M,CHE,2.9m,2,0,0,0,0,1,0,1,-,0,1,0,2.8,8
 Sinclair, J,LIV,2.8m,1,1,1,0,0,-,-,-,-,0,0,0,2.9,8
 Whittaker, S,NOR,2.7m,8,0,1,0,0,0,1,16,-,1,1,0,3.0,8
 Federici, A,BOU,2.2m,8,0,0,0,0,0,0,16,0,0,0,0,3.6,8
 Odemwingie, P,STO,3.8m,1,5,0,0,0,-,-,-,-,0,0,0,1.8,7
 Kozak, L,AVL,3.7m,3,1,0,0,0,-,-,-,-,0,0,0,1.9,7
 Byram, S,WHM,3.0m,2,2,0,0,0,1,1,3,-,0,3,0,2.3,7
 Amartey, D,LEI,3.5m,1,4,0,0,0,-,-,-,-,0,0,0,1.7,6
 Arteta, M,ARS,3.4m,0,10,0,0,0,-,-,-,-,0,1,1,1.8,6
 Saivet, H,NEW,3.1m,2,2,0,0,0,-,-,-,-,0,0,0,1.9,6
 Niasse, O,EVE,4.3m,0,5,0,0,0,-,-,-,-,0,0,0,1.2,5
 Iturbe, J,BOU,3.4m,2,2,0,0,0,-,-,-,-,0,1,0,1.5,5
 Rantie, T,BOU,2.8m,1,3,0,0,0,-,-,-,-,0,0,0,1.8,5
 O'Brien, J,WHM,2.7m,1,1,0,0,0,0,1,1,-,0,0,0,1.9,5
 Wasilewski, M,LEI,2.6m,3,1,1,0,0,0,0,8,-,0,3,0,1.9,5
 Mbabu, K,NEW,2.2m,2,1,0,0,0,0,1,4,-,0,0,0,2.3,5
 Bartley, K,SWA,2.0m,4,2,0,0,0,0,2,9,-,0,2,0,2.5,5
 Ibarbo, V,WAT,4.6m,0,4,0,0,0,-,-,-,-,0,0,0,0.9,4
 Oulare, O,WAT,4.0m,1,2,0,0,0,-,-,-,-,0,0,0,1.0,4
 Riviere, E,NEW,4.0m,1,2,0,0,0,-,-,-,-,0,0,0,1.0,4
 Matthews, A,SUN,2.9m,0,1,0,0,1,0,0,1,-,0,0,0,1.4,4
 Wilson, M,STO,2.9m,3,3,0,0,0,0,1,9,-,0,1,0,1.4,4
 Pereira, A,MUN,2.7m,0,6,0,0,0,-,-,-,-,0,2,0,1.5,4
 Pritchard, A,WBA,2.7m,0,4,0,0,0,-,-,-,-,0,0,0,1.5,4
 Stewart, K,LIV,2.6m,2,0,0,0,0,-,-,-,-,0,0,0,1.5,4
 Gamboa, C,WBA,2.0m,1,1,0,0,0,0,1,1,-,0,1,0,2.0,4
 Haugaard, J,STO,1.7m,4,1,0,0,0,0,0,10,0,0,0,0,2.4,4
 Doumbia, S,NEW,5.3m,0,3,0,0,0,-,-,-,-,0,0,0,0.6,3
 Grimes, M,SWA,2.8m,2,0,0,0,0,-,-,-,-,0,1,0,1.1,3
 Ojo, O,LIV,2.7m,1,1,0,0,0,-,-,-,-,0,0,0,1.1,3
 Mariappa, A,CRY,2.6m,2,0,0,0,0,0,0,3,-,0,0,0,1.2,3
 Randall, C,LIV,2.0m,2,0,0,0,0,0,0,3,-,0,0,0,1.5,3
 Gazzaniga, P,SOT,1.8m,2,0,0,0,0,0,0,3,0,0,0,0,1.7,3
 Lafferty, K,NOR,3.8m,0,2,0,0,0,-,-,-,-,0,0,0,0.5,2
 Brown, W,SUN,3.0m,6,0,0,0,0,0,0,15,-,0,1,0,0.7,2
 N'Zogbia, C,AVL,3.0m,0,2,0,0,0,-,-,-,-,0,0,0,0.7,2
 Reine-Adelaide, J,ARS,2.7m,0,2,0,0,0,-,-,-,-,0,0,0,0.7,2
 Ward, D,LIV,2.5m,1,0,0,0,0,0,0,1,0,0,0,0,0.8,2
 Wilshere, J,ARS,4.4m,0,1,0,0,0,-,-,-,-,0,0,0,0.2,1
 Rodriguez, L,EVE,3.7m,0,1,0,0,0,-,-,-,-,0,0,0,0.3,1
 Rosicky, T,ARS,3.6m,0,1,0,0,0,-,-,-,-,0,0,0,0.3,1
 Wilson, J,MUN,3.6m,0,1,0,0,0,-,-,-,-,0,0,0,0.3,1
 Gnabry, S,ARS,3.0m,0,1,0,0,0,-,-,-,-,0,0,0,0.3,1
 Speroni, J,CRY,2.8m,1,0,0,0,0,0,0,2,0,0,0,0,0.4,1
 Reed, H,SOT,2.6m,0,1,0,0,0,-,-,-,-,0,0,0,0.4,1
 Mings, T,BOU,2.5m,0,1,0,0,0,0,1,0,-,0,0,0,0.4,1
 Bogdan, A,LIV,2.4m,2,0,0,0,0,0,0,5,0,0,0,0,0.4,1
 Davis, K,SOT,2.1m,1,0,0,0,0,0,0,2,0,0,0,0,0.5,1
 Teixeira, D,STO,2.0m,0,1,0,0,0,0,0,1,-,0,0,0,0.5,1
 Given, S,STO,2.9m,2,0,0,0,0,0,0,6,0,0,0,0,0.0,0
 Nordfeldt, K,SWA,2.2m,1,0,0,0,0,0,0,3,0,0,0,0,0.0,0
 Tabanou, F,SWA,2.8m,1,0,0,0,0,0,0,3,-,0,1,0,0.0,-1
 Pickford, J,SUN,2.5m,1,0,0,0,0,0,0,4,0,0,0,0,0.0,-1
 El Ouriachi, M,STO,3.0m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Amelia, M,CHE,2.9m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
 Buckley, W,SUN,2.9m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 James, M,LEI,2.9m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Rossiter, J,LIV,2.9m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Isgrove, L,SOT,2.8m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Cullen, J,WHM,2.7m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Dodoo, J,LEI,2.7m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Gardos, F,SOT,2.7m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Hammond, D,LEI,2.7m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Hendrie, S,WHM,2.7m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Marveaux, S,NEW,2.7m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Appiah, K,CRY,2.6m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Bielik, K,ARS,2.6m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Blackman, J,CHE,2.5m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
 Byers, G,WAT,2.5m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Hesketh, J,SOT,2.5m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Holgate, M,EVE,2.5m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Johnstone, S,MUN,2.5m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
 Riley, J,MUN,2.5m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Rothwell, J,MUN,2.5m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Smith, C,WAT,2.5m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Jakubiak, A,WAT,2.3m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
 Doherty, J,WAT,2.2m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Fryers, Z,CRY,2.2m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Hibbert, T,EVE,2.2m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Schwarzer, M,LEI,2.2m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
 Good, C,NEW,2.1m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Roberge, V,SUN,2.1m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Ekstrand, J,WAT,2.0m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Henry, D,WHM,2.0m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Hoban, T,WAT,2.0m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 McCarthy, J,SOT,2.0m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 McCarthy, P,CRY,2.0m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Wiggins, R,BOU,2.0m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
 Kean, J,NOR,1.8m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
 Wright, R,MCY,1.8m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
 Gilmartin, R,WAT,1.6m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
 Spiegel, R,WHM,1.6m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
